player_id,player_name,nationality,position,preferred_foot,date_of_birth,birth_year,height_cm,height_category,market_value_eur,market_value_million
67336,Martin Smith,England,Centre-Forward,left,1974-11-13,1974.0,180.0,Average,,
3822,Martin Taylor,England,Centre-Back,right,1979-11-09,1979.0,195.0,Very Tall,750000.0,0.75
324169,Martin Taylor,England,Goalkeeper,,1966-12-09,1966.0,,Unknown,,
25389,Martin Woods,Scotland,Central Midfield,left,1986-01-01,1986.0,175.0,Average,200000.0,0.2
316264,Martin Ødegaard,Norway,Attacking Midfield,left,1998-12-17,1998.0,178.0,Average,110000000.0,110.0
106366,Martyn Booty,England,Right-Back,,1971-05-30,1971.0,173.0,Average,,
12718,Martyn Margetson,Wales,Goalkeeper,,1971-09-08,1971.0,183.0,Tall,,
61674,Martyn Waghorn,England,Centre-Forward,left,1990-01-23,1990.0,177.0,Average,900000.0,0.9
54935,Martín Cáceres,Uruguay,Centre-Back,right,1987-04-07,1987.0,180.0,Average,4000000.0,4.0
2963,Martín Demichelis,Argentina; Italy,Centre-Back,right,1980-12-20,1980.0,184.0,Tall,2000000.0,2.0
3726,Martín Herrera,Argentina,Goalkeeper,right,1970-09-13,1970.0,185.0,Tall,,
68645,Martín Montoya,Spain,Right-Back,right,1991-04-14,1991.0,175.0,Average,6500000.0,6.5
324882,Marvelous Nakamba,Zimbabwe,Defensive Midfield,left,1994-01-19,1994.0,177.0,Average,5000000.0,5.0
37787,Marvin Emnes,Netherlands; Suriname,Centre-Forward,both,1988-05-27,1988.0,180.0,Average,1000000.0,1.0
25387,Marvin Robinson,England,Centre-Forward,right,1980-04-11,1980.0,180.0,Average,,
120599,Marvin Sordell,England,Centre-Forward,right,1991-02-17,1991.0,179.0,Average,1000000.0,1.0
92899,Marvin Zeegelaar,Netherlands; Suriname,Left-Back,left,1990-08-12,1990.0,186.0,Tall,2500000.0,2.5
137745,Marçal,Brazil,Left-Back,left,1989-02-19,1989.0,178.0,Average,1500000.0,1.5
504966,Mason Barrett,England,Centre-Back,right,1999-09-24,1999.0,190.0,Tall,,
339013,Mason Bloomfield,England; Jamaica,Centre-Forward,right,1996-11-06,1996.0,191.0,Very Tall,,
874080,Mason Burstow,England; Jamaica,Centre-Forward,right,2003-08-04,2003.0,187.0,Tall,1800000.0,1.8
532826,Mason Greenwood,England; Jamaica,Right Winger,both,2001-10-01,2001.0,181.0,Tall,,
348623,Mason Holgate,Jamaica; England,Centre-Back,right,1996-10-22,1996.0,187.0,Tall,5000000.0,5.0
346483,Mason Mount,England,Attacking Midfield,right,1999-01-10,1999.0,181.0,Tall,35000000.0,35.0
242416,Mason Springthorpe,England,Goalkeeper,,1994-11-01,1994.0,191.0,Very Tall,,
170929,Massadio Haidara,Mali; France,Left-Back,left,1992-12-02,1992.0,179.0,Average,1500000.0,1.5
181687,Massimo Luongo,Australia; Italy,Central Midfield,right,1992-09-25,1992.0,176.0,Average,500000.0,0.5
3713,Massimo Maccarone,Italy,Centre-Forward,right,1979-09-06,1979.0,180.0,Average,3650000.0,3.65
3527,Massimo Taibi,Italy,Goalkeeper,,1970-02-18,1970.0,190.0,Tall,,
3930,Mat Sadler,England,Centre-Back,left,1985-02-26,1985.0,180.0,Average,1100000.0,1.1
60220,Matej Delac,Croatia,Goalkeeper,right,1992-08-20,1992.0,190.0,Tall,750000.0,0.75
550829,Matej Kovar,Czech Republic,Goalkeeper,right,2000-05-17,2000.0,196.0,Very Tall,1800000.0,1.8
101500,Matej Vydra,Czech Republic,Centre-Forward,right,1992-05-01,1992.0,180.0,Average,2000000.0,2.0
4358,Mateja Kežman,Serbia,Centre-Forward,right,1979-04-12,1979.0,182.0,Tall,13500000.0,13.5
834742,Mateo Joseph,Spain; England,Centre-Forward,,2003-10-19,2003.0,185.0,Tall,900000.0,0.9
51471,Mateo Kovacic,Croatia,Central Midfield,right,1994-05-06,1994.0,177.0,Average,30000000.0,30.0
880245,Mateus Fernandes,Portugal,Central Midfield,right,2004-07-10,2004.0,178.0,Average,12000000.0,12.0
431475,Mateusz Bogusz,Poland,Attacking Midfield,right,2001-08-22,2001.0,175.0,Average,1000000.0,1.0
318547,Mateusz Hewelt,Poland; Ireland,Goalkeeper,right,1996-09-23,1996.0,191.0,Very Tall,,
92738,Mateusz Klich,Poland,Central Midfield,right,1990-06-13,1990.0,183.0,Tall,2000000.0,2.0
570469,Mateusz Musialowski,Poland,Attacking Midfield,both,2003-10-16,2003.0,175.0,Average,300000.0,0.3
517894,Matheus Cunha,Brazil,Centre-Forward,right,1999-05-27,1999.0,183.0,Tall,45000000.0,45.0
